generation=30, rounds=50	ratio=50;50
strategy1=0 strategy2=1, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=2, 30	0.20	0.80, smallcompany1=0.2081,smallcompany2=0.7919, bigcompany1=0.1762,bigcompany2=0.8238
strategy1=0 strategy2=3, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=4, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=5, 30	0.49	0.51, smallcompany1=0.4894,smallcompany2=0.5106, bigcompany1=0.4935,bigcompany2=0.5065
strategy1=0 strategy2=6, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=7, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=8, 30	0.74	0.26, smallcompany1=0.7257,smallcompany2=0.2743, bigcompany1=0.7705,bigcompany2=0.2295
strategy1=0 strategy2=9, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=10, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=11, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=12, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=13, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=14, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=15, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=16, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=0 strategy2=17, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=1 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=1 strategy2=2, 30	0.49	0.51, smallcompany1=0.4919,smallcompany2=0.5081, bigcompany1=0.5005,bigcompany2=0.4995
strategy1=1 strategy2=3, 30	0.51	0.49, smallcompany1=0.5060,smallcompany2=0.4940, bigcompany1=0.5046,bigcompany2=0.4954
strategy1=1 strategy2=4, 30	0.50	0.50, smallcompany1=0.5001,smallcompany2=0.4999, bigcompany1=0.5023,bigcompany2=0.4977
strategy1=1 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=1 strategy2=6, 30	0.49	0.51, smallcompany1=0.4935,smallcompany2=0.5065, bigcompany1=0.4948,bigcompany2=0.5052
strategy1=1 strategy2=7, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=1 strategy2=8, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=1 strategy2=9, 30	0.49	0.51, smallcompany1=0.4907,smallcompany2=0.5093, bigcompany1=0.4819,bigcompany2=0.5181
strategy1=1 strategy2=10, 30	0.51	0.49, smallcompany1=0.5044,smallcompany2=0.4956, bigcompany1=0.5128,bigcompany2=0.4872
strategy1=1 strategy2=11, 30	0.49	0.51, smallcompany1=0.4919,smallcompany2=0.5081, bigcompany1=0.4888,bigcompany2=0.5112
strategy1=1 strategy2=12, 30	0.50	0.50, smallcompany1=0.4952,smallcompany2=0.5048, bigcompany1=0.5017,bigcompany2=0.4983
strategy1=1 strategy2=13, 30	0.50	0.50, smallcompany1=0.4965,smallcompany2=0.5035, bigcompany1=0.5032,bigcompany2=0.4968
strategy1=1 strategy2=14, 30	0.51	0.49, smallcompany1=0.5090,smallcompany2=0.4910, bigcompany1=0.5075,bigcompany2=0.4925
strategy1=1 strategy2=15, 30	0.80	0.20, smallcompany1=0.7909,smallcompany2=0.2091, bigcompany1=0.8080,bigcompany2=0.1920
strategy1=1 strategy2=16, 30	0.59	0.41, smallcompany1=0.5949,smallcompany2=0.4051, bigcompany1=0.5864,bigcompany2=0.4136
strategy1=1 strategy2=17, 30	0.56	0.44, smallcompany1=0.5577,smallcompany2=0.4423, bigcompany1=0.5560,bigcompany2=0.4440
strategy1=2 strategy2=0, 30	0.80	0.20, smallcompany1=0.7975,smallcompany2=0.2025, bigcompany1=0.8219,bigcompany2=0.1781
strategy1=2 strategy2=1, 30	0.50	0.50, smallcompany1=0.4992,smallcompany2=0.5008, bigcompany1=0.4945,bigcompany2=0.5055
strategy1=2 strategy2=3, 30	0.51	0.49, smallcompany1=0.5066,smallcompany2=0.4934, bigcompany1=0.5026,bigcompany2=0.4974
strategy1=2 strategy2=4, 30	0.49	0.51, smallcompany1=0.4896,smallcompany2=0.5104, bigcompany1=0.4915,bigcompany2=0.5085
strategy1=2 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=0.9998,bigcompany2=0.0002
strategy1=2 strategy2=6, 30	0.50	0.50, smallcompany1=0.5037,smallcompany2=0.4963, bigcompany1=0.5011,bigcompany2=0.4989
strategy1=2 strategy2=7, 30	0.35	0.65, smallcompany1=0.3594,smallcompany2=0.6406, bigcompany1=0.3145,bigcompany2=0.6855
strategy1=2 strategy2=8, 30	0.02	0.98, smallcompany1=0.0216,smallcompany2=0.9784, bigcompany1=0.0178,bigcompany2=0.9822
strategy1=2 strategy2=9, 30	0.50	0.50, smallcompany1=0.5001,smallcompany2=0.4999, bigcompany1=0.5034,bigcompany2=0.4966
strategy1=2 strategy2=10, 30	0.50	0.50, smallcompany1=0.5058,smallcompany2=0.4942, bigcompany1=0.4977,bigcompany2=0.5023
strategy1=2 strategy2=11, 30	0.49	0.51, smallcompany1=0.4929,smallcompany2=0.5071, bigcompany1=0.4957,bigcompany2=0.5043
strategy1=2 strategy2=12, 30	0.50	0.50, smallcompany1=0.5034,smallcompany2=0.4966, bigcompany1=0.5018,bigcompany2=0.4982
strategy1=2 strategy2=13, 30	0.49	0.51, smallcompany1=0.4905,smallcompany2=0.5095, bigcompany1=0.4906,bigcompany2=0.5094
strategy1=2 strategy2=14, 30	0.49	0.51, smallcompany1=0.4868,smallcompany2=0.5132, bigcompany1=0.4921,bigcompany2=0.5079
strategy1=2 strategy2=15, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=2 strategy2=16, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=2 strategy2=17, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=3 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=3 strategy2=1, 30	0.49	0.51, smallcompany1=0.4895,smallcompany2=0.5105, bigcompany1=0.4899,bigcompany2=0.5101
strategy1=3 strategy2=2, 30	0.51	0.49, smallcompany1=0.5060,smallcompany2=0.4940, bigcompany1=0.5047,bigcompany2=0.4953
strategy1=3 strategy2=4, 30	0.49	0.51, smallcompany1=0.4950,smallcompany2=0.5050, bigcompany1=0.4903,bigcompany2=0.5097
strategy1=3 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=3 strategy2=6, 30	0.50	0.50, smallcompany1=0.4967,smallcompany2=0.5033, bigcompany1=0.4986,bigcompany2=0.5014
strategy1=3 strategy2=7, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=3 strategy2=8, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
