turn=0generation=30, rounds=50
generation=0	strategy0=0.0538	strategy1=0.0546	strategy2=0.0554	strategy3=0.0557	strategy4=0.0547	strategy5=0.0550	strategy6=0.0551	strategy7=0.0571	strategy8=0.0554	strategy9=0.0559	strategy10=0.0564	strategy11=0.0552	strategy12=0.0544	strategy13=0.0571	strategy14=0.0560	strategy15=0.0555	strategy16=0.0551	strategy17=0.0573	
generation=1	strategy0=0.0037	strategy1=0.1082	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0531	strategy6=0.0551	strategy7=0.0569	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0553	strategy16=0.0551	strategy17=0.0573	
generation=2	strategy0=0.0010	strategy1=0.1112	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0530	strategy6=0.0551	strategy7=0.0569	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0553	strategy16=0.0551	strategy17=0.0573	
generation=3	strategy0=0.0009	strategy1=0.1115	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0529	strategy6=0.0551	strategy7=0.0569	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0553	strategy16=0.0551	strategy17=0.0573	
generation=4	strategy0=0.0009	strategy1=0.1117	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0528	strategy6=0.0551	strategy7=0.0569	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0553	strategy16=0.0551	strategy17=0.0573	
generation=5	strategy0=0.0009	strategy1=0.1118	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0528	strategy6=0.0551	strategy7=0.0569	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0551	strategy17=0.0573	
generation=6	strategy0=0.0009	strategy1=0.1119	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0527	strategy6=0.0551	strategy7=0.0569	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0551	strategy17=0.0573	
generation=7	strategy0=0.0008	strategy1=0.1120	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0527	strategy6=0.0551	strategy7=0.0569	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0551	strategy17=0.0573	
generation=8	strategy0=0.0008	strategy1=0.1121	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0527	strategy6=0.0551	strategy7=0.0568	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
generation=9	strategy0=0.0008	strategy1=0.1123	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0526	strategy6=0.0551	strategy7=0.0568	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
generation=10	strategy0=0.0007	strategy1=0.1123	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0526	strategy6=0.0551	strategy7=0.0568	strategy8=0.0547	strategy9=0.0558	strategy10=0.0564	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
