generation=30, rounds=50	ratio=10;90
strategy1=0 strategy2=1, 30	0.00	1.00
strategy1=0 strategy2=2, 30	0.25	0.75
strategy1=0 strategy2=3, 30	0.00	1.00
strategy1=0 strategy2=4, 30	0.00	1.00
strategy1=0 strategy2=5, 30	0.10	0.90
strategy1=0 strategy2=6, 30	0.00	1.00
strategy1=0 strategy2=7, 30	0.00	1.00
strategy1=0 strategy2=8, 30	0.67	0.33
strategy1=0 strategy2=9, 30	0.00	1.00
strategy1=0 strategy2=10, 30	0.00	1.00
strategy1=0 strategy2=11, 30	0.00	1.00
strategy1=0 strategy2=12, 30	0.00	1.00
strategy1=0 strategy2=13, 30	0.00	1.00
strategy1=0 strategy2=14, 30	0.00	1.00
strategy1=0 strategy2=15, 30	0.00	1.00
strategy1=0 strategy2=16, 30	0.00	1.00
strategy1=0 strategy2=17, 30	0.00	1.00
strategy1=1 strategy2=0, 30	1.00	0.00
strategy1=1 strategy2=2, 30	0.10	0.90
strategy1=1 strategy2=3, 30	0.10	0.90
strategy1=1 strategy2=4, 30	0.10	0.90
strategy1=1 strategy2=5, 30	1.00	0.00
strategy1=1 strategy2=6, 30	0.10	0.90
strategy1=1 strategy2=7, 30	1.00	0.00
strategy1=1 strategy2=8, 30	1.00	0.00
strategy1=1 strategy2=9, 30	0.10	0.90
strategy1=1 strategy2=10, 30	0.10	0.90
strategy1=1 strategy2=11, 30	0.10	0.90
strategy1=1 strategy2=12, 30	0.10	0.90
strategy1=1 strategy2=13, 30	0.10	0.90
strategy1=1 strategy2=14, 30	0.10	0.90
strategy1=1 strategy2=15, 30	1.00	0.00
strategy1=1 strategy2=16, 30	0.00	1.00
strategy1=1 strategy2=17, 30	0.00	1.00
strategy1=2 strategy2=0, 30	0.83	0.17
strategy1=2 strategy2=1, 30	0.10	0.90
strategy1=2 strategy2=3, 30	0.10	0.90
strategy1=2 strategy2=4, 30	0.10	0.90
strategy1=2 strategy2=5, 30	1.00	0.00
strategy1=2 strategy2=6, 30	0.10	0.90
strategy1=2 strategy2=7, 30	0.00	1.00
strategy1=2 strategy2=8, 30	0.00	1.00
strategy1=2 strategy2=9, 30	0.10	0.90
strategy1=2 strategy2=10, 30	0.10	0.90
strategy1=2 strategy2=11, 30	0.10	0.90
strategy1=2 strategy2=12, 30	0.10	0.90
strategy1=2 strategy2=13, 30	0.10	0.90
strategy1=2 strategy2=14, 30	0.10	0.90
strategy1=2 strategy2=15, 30	0.00	1.00
strategy1=2 strategy2=16, 30	0.00	1.00
strategy1=2 strategy2=17, 30	0.00	1.00
strategy1=3 strategy2=0, 30	1.00	0.00
strategy1=3 strategy2=1, 30	0.10	0.90
strategy1=3 strategy2=2, 30	0.10	0.90
strategy1=3 strategy2=4, 30	0.10	0.90
strategy1=3 strategy2=5, 30	1.00	0.00
strategy1=3 strategy2=6, 30	0.10	0.90
strategy1=3 strategy2=7, 30	1.00	0.00
strategy1=3 strategy2=8, 30	1.00	0.00
strategy1=3 strategy2=9, 30	0.10	0.90
strategy1=3 strategy2=10, 30	0.10	0.90
strategy1=3 strategy2=11, 30	0.10	0.90
strategy1=3 strategy2=12, 30	0.10	0.90
strategy1=3 strategy2=13, 30	0.10	0.90
strategy1=3 strategy2=14, 30	0.10	0.90
strategy1=3 strategy2=15, 30	0.00	1.00
strategy1=3 strategy2=16, 30	0.00	1.00
strategy1=3 strategy2=17, 30	0.00	1.00
strategy1=4 strategy2=0, 30	1.00	0.00
strategy1=4 strategy2=1, 30	0.10	0.90
strategy1=4 strategy2=2, 30	0.10	0.90
strategy1=4 strategy2=3, 30	0.10	0.90
strategy1=4 strategy2=5, 30	1.00	0.00
strategy1=4 strategy2=6, 30	0.10	0.90
strategy1=4 strategy2=7, 30	1.00	0.00
strategy1=4 strategy2=8, 30	1.00	0.00
strategy1=4 strategy2=9, 30	0.10	0.90
strategy1=4 strategy2=10, 30	0.10	0.90
strategy1=4 strategy2=11, 30	0.10	0.90
strategy1=4 strategy2=12, 30	0.10	0.90
strategy1=4 strategy2=13, 30	0.10	0.90
strategy1=4 strategy2=14, 30	0.10	0.90
strategy1=4 strategy2=15, 30	0.00	1.00
strategy1=4 strategy2=16, 30	0.00	1.00
strategy1=4 strategy2=17, 30	0.00	1.00
strategy1=5 strategy2=0, 30	0.10	0.90
strategy1=5 strategy2=1, 30	0.00	1.00
strategy1=5 strategy2=2, 30	0.00	1.00
strategy1=5 strategy2=3, 30	0.00	1.00
strategy1=5 strategy2=4, 30	0.00	1.00
strategy1=5 strategy2=6, 30	0.00	1.00
strategy1=5 strategy2=7, 30	0.00	1.00
strategy1=5 strategy2=8, 30	0.35	0.65
strategy1=5 strategy2=9, 30	0.00	1.00
strategy1=5 strategy2=10, 30	0.00	1.00
strategy1=5 strategy2=11, 30	0.00	1.00
strategy1=5 strategy2=12, 30	0.00	1.00
strategy1=5 strategy2=13, 30	0.00	1.00
strategy1=5 strategy2=14, 30	0.00	1.00
strategy1=5 strategy2=15, 30	0.00	1.00
strategy1=5 strategy2=16, 30	0.00	1.00
strategy1=5 strategy2=17, 30	0.00	1.00
strategy1=6 strategy2=0, 30	1.00	0.00
strategy1=6 strategy2=1, 30	0.10	0.90
strategy1=6 strategy2=2, 30	0.10	0.90
strategy1=6 strategy2=3, 30	0.10	0.90
strategy1=6 strategy2=4, 30	0.10	0.90
strategy1=6 strategy2=5, 30	1.00	0.00
strategy1=6 strategy2=7, 30	1.00	0.00
strategy1=6 strategy2=8, 30	1.00	0.00
strategy1=6 strategy2=9, 30	0.10	0.90
strategy1=6 strategy2=10, 30	0.10	0.90
strategy1=6 strategy2=11, 30	0.10	0.90
strategy1=6 strategy2=12, 30	0.10	0.90
strategy1=6 strategy2=13, 30	0.10	0.90
strategy1=6 strategy2=14, 30	0.10	0.90
strategy1=6 strategy2=15, 30	1.00	0.00
strategy1=6 strategy2=16, 30	0.00	1.00
strategy1=6 strategy2=17, 30	0.00	1.00
strategy1=7 strategy2=0, 30	1.00	0.00
strategy1=7 strategy2=1, 30	0.00	1.00
strategy1=7 strategy2=2, 30	0.98	0.02
strategy1=7 strategy2=3, 30	0.00	1.00
strategy1=7 strategy2=4, 30	0.00	1.00
strategy1=7 strategy2=5, 30	1.00	0.00
strategy1=7 strategy2=6, 30	0.00	1.00
strategy1=7 strategy2=8, 30	1.00	0.00
strategy1=7 strategy2=9, 30	0.00	1.00
strategy1=7 strategy2=10, 30	0.00	1.00
strategy1=7 strategy2=11, 30	0.00	1.00
strategy1=7 strategy2=12, 30	0.00	1.00
strategy1=7 strategy2=13, 30	0.00	1.00
strategy1=7 strategy2=14, 30	0.00	1.00
strategy1=7 strategy2=15, 30	0.00	1.00
strategy1=7 strategy2=16, 30	0.00	1.00
strategy1=7 strategy2=17, 30	0.00	1.00
strategy1=8 strategy2=0, 30	0.37	0.63
strategy1=8 strategy2=1, 30	0.00	1.00
strategy1=8 strategy2=2, 30	0.70	0.30
strategy1=8 strategy2=3, 30	0.00	1.00
strategy1=8 strategy2=4, 30	0.00	1.00
strategy1=8 strategy2=5, 30	0.75	0.25
strategy1=8 strategy2=6, 30	0.00	1.00
